reference_number,citation,doi,official_or_search_verified_url,verification_date,status
1,"Greenberg SM, Ziai WC, Cordonnier C, et al. 2022 Guideline for the Management of Patients With Spontaneous Intracerebral Hemorrhage: A Guideline From the American Heart Association/American Stroke Association. Stroke. 2022;53:e282-e361.",10.1161/STR.0000000000000407,https://pubmed.ncbi.nlm.nih.gov/35579034/,2026-08-09,verified
2,"Puy L, Parry-Jones AR, Sandset EC, Dowlatshahi D, Ziai W, Cordonnier C. Intracerebral haemorrhage. Nat Rev Dis Primers. 2023;9:14.",10.1038/s41572-023-00424-7,https://www.nature.com/articles/s41572-023-00424-7,2026-08-09,verified
3,"Cordonnier C, Demchuk A, Ziai W, Anderson CS. Intracerebral haemorrhage: current approaches to acute management. Lancet. 2018;392:1257-1268.",10.1016/S0140-6736(18)31878-6,https://pubmed.ncbi.nlm.nih.gov/30319113/,2026-08-09,verified
4,"Qureshi AI, Mendelow AD, Hanley DF. Intracerebral haemorrhage. Lancet. 2009;373:1632-1644.",10.1016/S0140-6736(09)60371-8,https://pubmed.ncbi.nlm.nih.gov/19427958/,2026-08-09,verified
5,"Keep RF, Hua Y, Xi G. Intracerebral haemorrhage: mechanisms of injury and therapeutic targets. Lancet Neurol. 2012;11:720-731.",10.1016/S1474-4422(12)70104-7,https://pubmed.ncbi.nlm.nih.gov/22698888/,2026-08-09,verified
6,"Aronowski J, Zhao X. Molecular pathophysiology of cerebral hemorrhage: secondary brain injury. Stroke. 2011;42:1781-1786.",10.1161/STROKEAHA.110.596718,https://pubmed.ncbi.nlm.nih.gov/21527759/,2026-08-09,verified
7,"GBD 2019 Stroke Collaborators. Global, regional, and national burden of stroke and its risk factors, 1990-2019: a systematic analysis for the Global Burden of Disease Study 2019. Lancet Neurol. 2021;20:795-820.",10.1016/S1474-4422(21)00252-0,https://doi.org/10.1016/S1474-4422(21)00252-0,2026-08-09,verified
8,"van Asch CJJ, Luitse MJA, Rinkel GJE, van der Tweel I, Algra A, Klijn CJM. Incidence, case fatality, and functional outcome of intracerebral haemorrhage over time, according to age, sex, and ethnic origin: a systematic review and meta-analysis. Lancet Neurol. 2010;9:167-176.",10.1016/S1474-4422(09)70340-0,https://pubmed.ncbi.nlm.nih.gov/20056489/,2026-08-09,verified
9,"Poon MTC, Fonville AF, Al-Shahi Salman R. Long-term prognosis after intracerebral haemorrhage: systematic review and meta-analysis. J Neurol Neurosurg Psychiatry. 2014;85:660-667.",10.1136/jnnp-2013-306476,https://pubmed.ncbi.nlm.nih.gov/24262916/,2026-08-09,verified
10,"Wang J, Dore S. Inflammation after intracerebral hemorrhage. J Cereb Blood Flow Metab. 2007;27:894-908.",10.1038/sj.jcbfm.9600403,https://doi.org/10.1038/sj.jcbfm.9600403,2026-08-09,verified
11,"Mracsko E, Veltkamp R. Neuroinflammation after intracerebral hemorrhage. Front Cell Neurosci. 2014;8:388.",10.3389/fncel.2014.00388,https://pubmed.ncbi.nlm.nih.gov/25477782/,2026-08-09,verified
12,"Tschoe C, Bushnell CD, Duncan PW, Alexander-Miller MA, Wolfe SQ. Neuroinflammation after intracerebral hemorrhage and potential therapeutic targets. J Stroke. 2020;22:29-46.",10.5853/jos.2019.02236,https://pubmed.ncbi.nlm.nih.gov/32027790/,2026-08-09,verified
13,"Lan X, Han X, Li Q, Yang QW, Wang J. Modulators of microglial activation and polarization after intracerebral haemorrhage. Nat Rev Neurol. 2017;13:420-433.",10.1038/nrneurol.2017.69,https://pubmed.ncbi.nlm.nih.gov/28524175/,2026-08-09,verified
14,"Bai Q, Xue M, Yong VW. Microglia and macrophage phenotypes in intracerebral haemorrhage injury: therapeutic opportunities. Brain. 2020;143:1297-1314.",10.1093/brain/awz393,https://pubmed.ncbi.nlm.nih.gov/31919518/,2026-08-09,verified
15,"Jiang C, Wang Y, Hu Q, et al. Immune changes in peripheral blood and hematoma of patients with intracerebral hemorrhage. FASEB J. 2020;34:2774-2791.",10.1096/fj.201902478R,https://pubmed.ncbi.nlm.nih.gov/31912591/,2026-08-09,verified
16,"Durocher M, Ander BP, Jickling G, et al. Inflammatory, regulatory, and autophagy co-expression modules and hub genes underlie the peripheral immune response to human intracerebral hemorrhage. J Neuroinflammation. 2019;16:56.",10.1186/s12974-019-1433-4,https://pmc.ncbi.nlm.nih.gov/articles/PMC6399982/,2026-08-09,verified
17,"Askenase MH, Goods BA, Beatty HE, et al. Longitudinal transcriptomics define the stages of myeloid activation in the living human brain after intracerebral hemorrhage. Sci Immunol. 2021;6:eabd6279.",10.1126/sciimmunol.abd6279,https://pubmed.ncbi.nlm.nih.gov/33891558/,2026-08-09,verified
18,"Goods BA, Askenase MH, Markarian E, et al. Leukocyte dynamics after intracerebral hemorrhage in a living patient reveal rapid adaptations to tissue milieu. JCI Insight. 2021;6:e145857.",10.1172/jci.insight.145857,https://pubmed.ncbi.nlm.nih.gov/33749664/,2026-08-09,verified
19,"Zhang P, Gao C, Guo Q, et al. Single-cell RNA sequencing reveals the evolution of the immune landscape during perihematomal edema progression after intracerebral hemorrhage. J Neuroinflammation. 2024;21:140.",10.1186/s12974-024-03113-8,https://pmc.ncbi.nlm.nih.gov/articles/PMC11131315/,2026-08-09,verified
20,"Du Y, Li G, Ji Z, et al. Comprehensive insight on immune landscape in intracerebral hemorrhage patients with single-cell RNA sequencing: from blood to hematoma. J Neuroinflammation. 2025;22.",10.1186/s12974-025-03518-z,https://pubmed.ncbi.nlm.nih.gov/40739271/,2026-08-09,verified
21,"Iadecola C, Anrather J. The immunology of stroke: from mechanisms to translation. Nat Med. 2011;17:796-808.",10.1038/nm.2399,https://pubmed.ncbi.nlm.nih.gov/21738161/,2026-08-09,verified
22,"Olczak M, Poniatowski LA, Siwinska A, et al. Elevated serum and urine levels of progranulin as a predictor of microglia activation in the early phase of traumatic brain injury: a further link with the development of neurodegenerative diseases. Folia Neuropathol. 2021;59:81-90.",10.5114/fn.2021.105137,https://www.termedia.pl/doi/10.5114/fn.2021.105137,2026-08-09,verified
23,"Olczak M, Poniatowski LA, Siwinska A, Kwiatkowska M. Post-mortem detection of neuronal and astroglial biochemical markers in serum and urine for diagnostics of traumatic brain injury. Int J Legal Med. 2023;137:1441-1452.",10.1007/s00414-023-02990-7,https://pubmed.ncbi.nlm.nih.gov/37272985/,2026-08-09,verified
24,"O'Neill LAJ, Kishton RJ, Rathmell J. A guide to immunometabolism for immunologists. Nat Rev Immunol. 2016;16:553-565.",10.1038/nri.2016.70,https://pubmed.ncbi.nlm.nih.gov/27396447/,2026-08-09,verified
25,"Voss K, Hong HS, Bader JE, Sugiura A, Lyssiotis CA, Rathmell JC. A guide to interrogating immunometabolism. Nat Rev Immunol. 2021;21:637-652.",10.1038/s41577-021-00529-8,https://www.nature.com/articles/s41577-021-00529-8,2026-08-09,verified
26,"Van den Bossche J, O'Neill LAJ, Menon D. Macrophage immunometabolism: where are we (going)? Trends Immunol. 2017;38:395-406.",10.1016/j.it.2017.03.001,https://doi.org/10.1016/j.it.2017.03.001,2026-08-09,verified
27,"Jha AK, Huang SC, Sergushichev A, et al. Network integration of parallel metabolic and transcriptional data reveals metabolic modules that regulate macrophage polarization. Immunity. 2015;42:419-430.",10.1016/j.immuni.2015.02.005,https://doi.org/10.1016/j.immuni.2015.02.005,2026-08-09,verified
28,"Kelly B, O'Neill LAJ. Metabolic reprogramming in macrophages and dendritic cells in innate immunity. Cell Res. 2015;25:771-784.",10.1038/cr.2015.68,https://pmc.ncbi.nlm.nih.gov/articles/PMC4492724/,2026-08-09,verified
29,"Tannahill GM, Curtis AM, Adamik J, et al. Succinate is an inflammatory signal that induces IL-1beta through HIF-1alpha. Nature. 2013;496:238-242.",10.1038/nature11986,https://pubmed.ncbi.nlm.nih.gov/23535595/,2026-08-09,verified
30,"Mills EL, Ryan DG, Prag HA, et al. Itaconate is an anti-inflammatory metabolite that activates Nrf2 via alkylation of KEAP1. Nature. 2018;556:113-117.",10.1038/nature25986,https://pubmed.ncbi.nlm.nih.gov/29590092/,2026-08-09,verified
31,"Mills EL, Kelly B, Logan A, et al. Succinate dehydrogenase supports metabolic repurposing of mitochondria to drive inflammatory macrophages. Cell. 2016;167:457-470.e13.",10.1016/j.cell.2016.08.064,https://doi.org/10.1016/j.cell.2016.08.064,2026-08-09,verified
32,"O'Neill LAJ, Pearce EJ. Immunometabolism governs dendritic cell and macrophage function. J Exp Med. 2016;213:15-23.",10.1084/jem.20151570,https://pubmed.ncbi.nlm.nih.gov/26694970/,2026-08-09,verified
33,"Cheng SC, Quintin J, Cramer RA, et al. mTOR- and HIF-1alpha-mediated aerobic glycolysis as metabolic basis for trained immunity. Science. 2014;345:1250684.",10.1126/science.1250684,https://doi.org/10.1126/science.1250684,2026-08-09,verified
34,"Subramanian A, Tamayo P, Mootha VK, et al. Gene set enrichment analysis: a knowledge-based approach for interpreting genome-wide expression profiles. Proc Natl Acad Sci U S A. 2005;102:15545-15550.",10.1073/pnas.0506580102,https://pubmed.ncbi.nlm.nih.gov/16199517/,2026-08-09,verified
35,"Liberzon A, Birger C, Thorvaldsdottir H, et al. The Molecular Signatures Database Hallmark Gene Set Collection. Cell Syst. 2015;1:417-425.",10.1016/j.cels.2015.12.004,https://pubmed.ncbi.nlm.nih.gov/26771021/,2026-08-09,verified
36,"Edgar R, Domrachev M, Lash AE. Gene Expression Omnibus: NCBI gene expression and hybridization array data repository. Nucleic Acids Res. 2002;30:207-210.",10.1093/nar/30.1.207,https://pubmed.ncbi.nlm.nih.gov/11752295/,2026-08-09,verified
37,"Barrett T, Wilhite SE, Ledoux P, et al. NCBI GEO: archive for functional genomics data sets-update. Nucleic Acids Res. 2013;41:D991-D995.",10.1093/nar/gks1193,https://pubmed.ncbi.nlm.nih.gov/23193258/,2026-08-09,verified
38,"Benjamini Y, Hochberg Y. Controlling the false discovery rate: a practical and powerful approach to multiple testing. J R Stat Soc Series B. 1995;57:289-300.",10.1111/j.2517-6161.1995.tb02031.x,https://doi.org/10.1111/j.2517-6161.1995.tb02031.x,2026-08-09,verified
39,"Seabold S, Perktold J. statsmodels: econometric and statistical modeling with Python. Proceedings of the 9th Python in Science Conference. 2010. Available: https://www.statsmodels.org/stable/",,https://www.statsmodels.org/stable/,2026-08-09,verified
40,"Hanley DF, Thompson RE, Rosenblum M, et al. Efficacy and safety of minimally invasive surgery with thrombolysis in intracerebral haemorrhage evacuation (MISTIE III): a randomised, controlled, open-label, blinded endpoint phase 3 trial. Lancet. 2019;393:1021-1032.",10.1016/S0140-6736(19)30195-3,https://pubmed.ncbi.nlm.nih.gov/30739747/,2026-08-09,verified
