removed_from,removed_gene,outcome,beta,se,ci_low,ci_high,p,n,patients
gly,ABCB6,Inflamm,0.38975287828297744,0.11300547648260859,0.16826621432127656,0.6112395422446784,0.0005627222087570871,136,20
gly,ABCB6,Hypoxia,0.6572595072348568,0.0938314614627987,0.4733532221510134,0.8411657923187003,2.4754822820719968e-12,136,20
gly,AGL,Inflamm,0.3781308639236246,0.11637416097605859,0.15004169967948316,0.6062200281677661,0.0011570232160335173,136,20
gly,AGL,Hypoxia,0.6592048592482647,0.09864759258298596,0.4658591306240316,0.8525505878724977,2.3502479778287207e-11,136,20
gly,AGRN,Inflamm,0.374071431718459,0.11579197796317721,0.1471233252119761,0.6010195382249419,0.0012355357139951586,136,20
gly,AGRN,Hypoxia,0.6454049966003114,0.10036520009571358,0.4486928191115568,0.842117174089066,1.2713005396064833e-10,136,20
gly,AK3,Inflamm,0.3658086216674328,0.11578426290975774,0.1388756363877908,0.5927416069470748,0.0015809518085773112,136,20
gly,AK3,Hypoxia,0.6367618808377042,0.099173252089557,0.44238587851246086,0.8311378831629477,1.3564749427474724e-10,136,20
gly,AKR1A1,Inflamm,0.3677336078506436,0.11258617516678242,0.14706875936663222,0.5883984563346549,0.0010898536280587211,136,20
gly,AKR1A1,Hypoxia,0.6497763677903716,0.09961513804920473,0.45453428489894476,0.8450184506817985,6.89756944659328e-11,136,20
gly,ALDH7A1,Inflamm,0.3740097616859662,0.1154093814654709,0.1478115305355988,0.6002079928363336,0.0011922724963617259,136,20
gly,ALDH7A1,Hypoxia,0.6456413799364366,0.0992563731192956,0.45110246338654764,0.8401802964863254,7.780450925901413e-11,136,20
gly,ALDH9A1,Inflamm,0.36671728810240056,0.11897291225711751,0.1335346649426063,0.5998999112621948,0.0020536664157048087,136,20
gly,ALDH9A1,Hypoxia,0.6398516725442138,0.10192095633959164,0.4400902688487349,0.8396130762396927,3.4313102971415137e-10,136,20
gly,ALG1,Inflamm,0.37769835341736324,0.11587630874454585,0.15058496161660964,0.6048117452181169,0.0011161039317916308,136,20
gly,ALG1,Hypoxia,0.6554429893912924,0.0986489438414035,0.4620946123492272,0.8487913664333576,3.0487515725811764e-11,136,20
gly,ANG,Inflamm,0.3756284656223554,0.11321794478619271,0.15372537143777332,0.5975315598069375,0.0009074673002889348,136,20
gly,ANG,Hypoxia,0.6440724951426398,0.09715702343157327,0.453648228371642,0.8344967619136375,3.375309043534092e-11,136,20
gly,ARPP19,Inflamm,0.35281362361581836,0.11662945436889974,0.12422409351621722,0.5814031537154195,0.0024856600431803363,136,20
gly,ARPP19,Hypoxia,0.6417152862414239,0.10099353805271305,0.4437715889868309,0.839658983496017,2.0975514632885667e-10,136,20
gly,AURKA,Inflamm,0.38151448302964663,0.11120962625900532,0.16354762082783633,0.5994813452314569,0.0006022731140407611,136,20
gly,AURKA,Hypoxia,0.6548322689599276,0.09688206083693615,0.4649469189715143,0.844717618948341,1.3888386971471125e-11,136,20
