beta,se,ci_low,ci_high,p,n,patients,signature,outcome,predictor
0.37188409087842816,0.09592260604693573,0.18387923772321013,0.5598889440336462,0.00010578793302151628,136,20,original,Inflamm,Gly-minus-Ox
0.8247721174827489,0.06064094205012972,0.7059180550759141,0.9436261798895837,3.954709632080385e-42,136,20,original,Hypoxia,Gly-minus-Ox
0.5296183301825788,0.07840170165593406,0.37595381861029364,0.6832828417548639,1.4264895956933707e-11,136,20,original,Inflamm,Gly-only
0.011362374795971464,0.10843589327161776,-0.20116807064782852,0.22389282023977145,0.9165470002639913,136,20,original,Inflamm,negative-Ox-only
0.8851640078480052,0.09725618136484525,0.6945453950990129,1.0757826205969974,8.920353145561192e-20,136,20,original,Hypoxia,Gly-only
0.25264866346690096,0.14841660475642154,-0.038242536563401375,0.5435398634972033,0.08870030980061527,136,20,original,Hypoxia,negative-Ox-only
0.37231830729086446,0.11652673879043851,0.1439300960256985,0.6007065185560304,0.0013976691920892835,136,20,all_overlap_pruned,Inflamm,Gly-minus-Ox
0.6474828313438157,0.10078579219350267,0.4499463084912123,0.845019354196419,1.3243739634153236e-10,136,20,all_overlap_pruned,Hypoxia,Gly-minus-Ox
0.26715545741339053,0.10005384242842612,0.07105352973882975,0.46325738508795133,0.007582483904793826,136,20,all_overlap_pruned,Inflamm,Gly-only
0.030625107541435104,0.10554918544207274,-0.17624749452256686,0.23749770960543706,0.7717014032085,136,20,all_overlap_pruned,Inflamm,negative-Ox-only
0.2681644383616313,0.1401677552957004,-0.006559313811764944,0.5428881905350276,0.055726572166535725,136,20,all_overlap_pruned,Hypoxia,Gly-only
0.22283815201183055,0.1256901780269853,-0.023510070131488287,0.4691863741551494,0.07624259489311155,136,20,all_overlap_pruned,Hypoxia,negative-Ox-only
